# 1:now_time 2:interval 3:gx 4:gy 5:gz 6:motor_number 7:output
350967351 836 0.792683 0.304878 0.182927 0 1.018958
350968410 1059 0.792683 0.182927 -0.060976 0 1.019064
350969131 721 0.731707 0.060976 -0.121951 0 1.019136
350969956 825 0.853659 0.182927 -0.121951 0 1.019218
350970790 834 0.975610 0.304878 -0.060976 0 1.019302
350971617 827 0.914634 0.182927 0.000000 0 1.019384
350972448 831 0.914634 0.304878 0.121951 0 1.019467
350973307 859 0.975610 0.304878 0.121951 0 1.019553
350974110 803 0.853659 0.243902 0.060976 0 1.019634
350974941 831 0.548781 0.365854 0.000000 0 1.019717
350975771 830 0.487805 0.426829 0.000000 0 1.019800
350976601 830 0.731707 0.243902 0.060976 0 1.019883
350977433 832 1.036585 0.182927 -0.060976 0 1.019966
350978291 858 1.158537 0.060976 -0.304878 0 1.020052
350979095 804 1.097561 0.000000 -0.243902 0 1.020132
350979926 831 1.036585 -0.121951 -0.060976 0 1.020215
350980760 834 0.975610 0.182927 0.000000 0 1.020299
350981590 830 0.914634 0.304878 -0.182927 0 1.020382
350982418 828 0.792683 0.304878 -0.121951 0 1.020464
350983251 833 0.975610 0.121951 -0.060976 0 1.020548
350984078 827 1.036585 0.060976 0.000000 0 1.020630
350984907 829 1.036585 0.060976 0.000000 0 1.020713
350985738 831 0.975610 0.060976 0.000000 0 1.020796
350986569 831 0.914634 0.121951 -0.060976 0 1.020880
350987401 832 0.975610 -0.060976 -0.182927 0 1.020963
350988316 915 0.853659 0.121951 -0.182927 0 1.021054
350989034 718 0.731707 0.304878 0.060976 0 1.021126
350989860 826 0.670732 0.304878 0.243902 0 1.021209
350990694 834 0.609756 0.365854 0.060976 0 1.021292
350991523 829 0.731707 0.304878 0.000000 0 1.021375
350992360 837 0.975610 0.121951 0.060976 0 1.021459
350993186 826 0.975610 0.121951 0.121951 0 1.021541
350994014 828 0.731707 0.243902 0.304878 0 1.021624
350994847 833 0.670732 0.182927 0.182927 0 1.021707
350995679 832 0.792683 0.060976 -0.060976 0 1.021791
350996506 827 0.853659 0.060976 -0.060976 0 1.021873
350997340 834 0.914634 0.060976 0.060976 0 1.021957
350998192 852 1.036585 0.060976 0.304878 0 1.022042
350999003 811 1.097561 0.182927 0.426829 0 1.022123
350999830 827 0.975610 0.365854 0.121951 0 1.022206
351000658 828 0.853659 0.304878 0.060976 0 1.022288
351001490 832 0.792683 0.121951 0.243902 0 1.022372
351002319 829 0.792683 0.060976 0.304878 0 1.022455
351003151 832 1.158537 0.060976 0.060976 0 1.022538
351003981 830 1.158537 0.304878 -0.243902 0 1.022621
351004812 831 0.853659 0.426829 -0.304878 0 1.022704
