#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1634588419 2000 -0.155009 1.797107 172.790726 0.609756 0.609756 -0.121951 -0.169434 -0.059570 1.337402 0.000000 0.000000 0.000000 1.229822 1.222985 1.197131 1.241042
1634590419 2000 -0.148274 1.784656 172.789932 0.853659 0.365854 -0.182927 -0.053711 -0.123047 1.107910 0.000000 0.000000 0.000000 1.227334 1.219375 1.203831 1.240439
1634592419 2000 -0.145475 1.789036 172.790390 1.585366 -0.731707 0.487805 -0.042969 0.032715 1.290527 0.000000 0.000000 0.000000 1.248469 1.239704 1.182495 1.220312
1634594419 2000 -0.132008 1.791303 172.790451 2.256098 0.914634 0.243902 -0.092285 -0.004883 0.935059 0.000000 0.000000 0.000000 1.245168 1.229590 1.188854 1.227368
1634596419 2000 -0.116331 1.792994 172.789078 1.341463 -0.609756 -0.426829 -0.161133 0.006348 1.104004 0.000000 0.000000 0.000000 1.222120 1.201419 1.219398 1.248043
1634598419 2000 -0.122962 1.785797 172.786255 0.670732 -0.304878 -1.158537 0.048340 -0.050781 0.832520 0.000000 0.000000 0.000000 1.194995 1.183421 1.242731 1.269832
1634600419 2000 -0.116201 1.783348 172.785187 0.182927 0.365854 -0.304878 -0.039551 -0.008301 0.807617 0.000000 0.000000 0.000000 1.221254 1.209602 1.212533 1.247591
1634602419 2000 -0.110491 1.784651 172.783524 1.524390 0.731707 -0.609756 -0.039551 -0.000977 1.194336 0.000000 0.000000 0.000000 1.206011 1.193138 1.229602 1.262229
1634604419 2000 -0.117463 1.783715 172.783813 0.426829 0.487805 0.365854 0.057617 -0.000977 0.777344 0.000000 0.000000 0.000000 1.233595 1.228968 1.199184 1.229233
1634606419 2000 -0.119682 1.784371 172.782089 0.731707 -0.121951 -0.609756 0.018555 0.006348 0.849121 0.000000 0.000000 0.000000 1.207444 1.209997 1.222150 1.251388
1634608419 2000 -0.121208 1.806531 172.780731 0.975610 0.182927 -0.426829 0.022461 0.205566 1.049316 0.000000 0.000000 0.000000 1.221262 1.221789 1.197379 1.250550
1634610419 2000 -0.110782 1.810906 172.781128 2.134146 0.365854 0.426829 -0.077637 0.015137 0.947266 0.000000 0.000000 0.000000 1.239120 1.238077 1.177531 1.236251
1634612419 2000 -0.111470 1.804846 172.777344 0.243902 -0.121951 -1.646342 0.011230 -0.054688 1.275391 0.000000 0.000000 0.000000 1.178691 1.180214 1.239682 1.292394
1634614419 2000 -0.130245 1.796788 172.777328 -0.426829 -0.487805 0.243902 0.176270 -0.053711 1.081055 0.000000 0.000000 0.000000 1.223187 1.229620 1.195658 1.242515
1634616419 2000 -0.116931 1.780744 172.777496 2.317073 1.890244 0.243902 -0.086914 -0.182617 1.067871 0.000000 0.000000 0.000000 1.236117 1.236203 1.192741 1.225920
1634618419 2000 -0.117042 1.793285 172.775986 -0.670732 -0.243902 -0.487805 0.000977 0.132324 0.957519 0.000000 0.000000 0.000000 1.212618 1.212140 1.220241 1.245980
1634620419 2000 -0.114797 1.810798 172.776978 4.085366 -1.646342 0.792683 -0.055664 0.119629 1.223633 0.000000 0.000000 0.000000 1.240871 1.243643 1.184931 1.221534
1634622419 2000 -0.116659 1.870054 172.775513 1.402439 -0.121951 -0.426829 0.016113 0.447754 0.757324 0.000000 0.000000 0.000000 1.224773 1.228034 1.174064 1.264109
1634624419 2000 -0.105108 1.862490 172.775574 -1.280488 0.731707 0.243902 -0.060547 -0.020020 0.708984 0.000000 0.000000 0.000000 1.232116 1.223130 1.172721 1.263013
1634626419 2000 -0.117632 1.872444 172.773453 4.085366 -2.621951 -0.731707 0.070801 0.032715 1.029785 0.000000 0.000000 0.000000 1.197617 1.199092 1.191488 1.302782
1634628419 2000 -0.100852 1.902451 172.773407 0.182927 0.121951 0.243902 -0.176270 0.342773 1.178711 0.000000 0.000000 0.000000 1.237665 1.232216 1.147614 1.273485
1634630419 2000 -0.076909 1.853928 172.772934 -2.865854 2.743902 -0.121951 -0.172852 -0.395020 0.997559 0.000000 0.000000 0.000000 1.218343 1.203976 1.198293 1.270368
1634632419 2000 -0.091172 1.861074 172.771362 1.036585 -1.341463 -0.487805 0.138672 0.079102 1.300293 0.000000 0.000000 0.000000 1.217011 1.207747 1.217844 1.248377
1634634419 2000 -0.112730 1.893496 172.770325 0.670732 -0.243902 -0.243902 0.256836 0.390625 1.270508 0.000000 0.000000 0.000000 1.210891 1.215086 1.200914 1.264088
1634636419 2000 -0.151248 1.885594 172.767975 1.036585 0.975610 -0.975610 0.310547 -0.063477 0.798340 0.000000 0.000000 0.000000 1.193305 1.208283 1.220328 1.269064
1634638419 2000 -0.158557 1.909906 172.764725 1.829268 -0.121951 -1.341463 0.067871 0.198242 0.978516 0.000000 0.000000 0.000000 1.167718 1.192406 1.243093 1.287763
1634640419 2000 -0.201088 1.977292 172.764984 3.536586 1.036585 0.426829 0.227539 0.309570 0.424805 0.000000 0.000000 0.000000 1.210918 1.262621 1.139346 1.278095
1634642419 2000 -0.204568 2.027040 172.761841 0.365854 1.280488 -1.280488 0.045410 0.342285 0.683105 0.000000 0.000000 0.000000 1.165496 1.212921 1.169367 1.343196
1634644419 2000 -0.204821 2.011055 172.760834 -0.487805 0.548781 -0.304878 0.019043 -0.122559 1.070312 0.000000 0.000000 0.000000 1.196585 1.235491 1.162058 1.296846
1634646419 2000 -0.226463 1.961294 172.756989 2.317073 -2.134146 -1.707317 0.140625 -0.411133 0.767578 0.000000 0.000000 0.000000 1.165096 1.197468 1.214054 1.314363
1634648419 2000 -0.199187 1.975738 172.756332 0.731707 3.597561 -0.182927 -0.252930 0.194336 1.443359 0.000000 0.000000 0.000000 1.221539 1.239805 1.168464 1.261172
1634650419 2000 -0.176276 1.957312 172.755539 -0.914634 -0.060976 -0.182927 -0.301758 -0.197754 1.481445 0.000000 0.000000 0.000000 1.217059 1.208919 1.220654 1.244348
1634652419 2000 -0.193742 1.860601 172.749725 2.682927 -0.243902 -2.804878 0.176758 -1.033691 0.456055 0.000000 0.000000 0.000000 1.152589 1.150218 1.341789 1.246384
1634654419 2000 -0.123495 1.874321 172.752655 2.865854 1.646342 1.646342 -0.807129 0.110352 1.108887 0.000000 0.000000 0.000000 1.290820 1.259547 1.205987 1.134625
1634656419 2000 -0.090176 1.872485 172.748825 -0.731707 -2.256098 -1.585366 -0.465332 0.015625 1.336914 0.000000 0.000000 0.000000 1.219052 1.165462 1.269760 1.236705
1634658419 2000 -0.072615 1.805453 172.746979 1.341463 0.000000 -0.731707 -0.229492 -0.919922 1.183105 0.000000 0.000000 0.000000 1.227563 1.177683 1.292653 1.193081
1634660419 2000 -0.021139 1.792245 172.753220 2.987805 1.402439 3.292683 -0.886719 -0.326660 1.843750 0.000000 0.000000 0.000000 1.354265 1.292445 1.169965 1.074306
1634662419 2000 -0.009118 1.747375 172.749451 0.731707 0.365854 -1.646342 -0.081543 -0.335938 0.771973 0.000000 0.000000 0.000000 1.238271 1.164536 1.271626 1.216547
1634664420 2001 0.008558 1.665642 172.748047 4.207317 -2.804878 -0.365854 -0.151855 -0.594238 0.427734 0.000000 0.000000 0.000000 1.221748 1.168864 1.316721 1.183647
1634666420 2000 0.076306 1.676590 172.754913 1.646342 1.890244 3.597561 -0.967773 0.128418 1.409180 0.000000 0.000000 0.000000 1.380192 1.312859 1.160276 1.037652
1634668420 2000 0.081391 1.656802 172.751755 1.158537 -1.036585 -1.280488 -0.084961 -0.251465 1.350098 0.000000 0.000000 0.000000 1.211709 1.149316 1.285318 1.200097
1634670420 2000 0.085201 1.568408 172.750305 2.378049 -1.402439 -0.365854 -0.032715 -0.472656 0.325195 0.000000 0.000000 0.000000 1.189390 1.146025 1.329080 1.181945
1634672420 2000 0.142420 1.559035 172.757767 4.146341 2.500000 3.902439 -0.617676 -0.198730 1.168457 0.000000 0.000000 0.000000 1.376155 1.314138 1.137534 1.018612
1634674420 2000 0.140248 1.541881 172.751587 0.304878 -2.195122 -2.743902 -0.025879 -0.202637 1.370605 0.000000 0.000000 0.000000 1.159979 1.105923 1.324068 1.256469
1634676420 2000 0.158804 1.491292 172.747559 1.158537 -1.463415 -1.646342 -0.122070 -0.297363 0.560547 0.000000 0.000000 0.000000 1.154662 1.120096 1.367030 1.249192
1634678420 2000 0.216796 1.513113 172.754852 2.256098 2.439024 3.780488 -0.684082 0.230469 1.260254 0.000000 0.000000 0.000000 1.377119 1.320810 1.138580 1.054470
1634680420 2000 0.233475 1.471811 172.749802 -1.097561 -2.012195 -2.134146 -0.257812 -0.474609 1.300781 0.000000 0.000000 0.000000 1.193191 1.131567 1.306741 1.259481
1634682423 2003 0.215462 1.378249 172.744110 2.926829 -2.560976 -2.317073 0.097656 -0.749512 0.390137 0.000000 0.000000 0.000000 1.129884 1.098533 1.389522 1.273041
1634684423 2000 0.263937 1.427029 172.748947 3.536586 2.987805 2.500000 -0.661133 0.651367 1.486328 0.000000 0.000000 0.000000 1.351232 1.299136 1.151682 1.088929
1634686423 2000 0.297276 1.410364 172.744858 -0.121951 -1.829268 -1.707317 -0.500000 -0.210449 1.423828 0.000000 0.000000 0.000000 1.217160 1.158818 1.275473 1.239529
1634688423 2000 0.297650 1.301164 172.740555 0.000000 -0.731707 -1.585366 -0.020996 -1.401367 0.322754 0.000000 0.000000 0.000000 1.155029 1.119729 1.379583 1.236639
1634690423 2000 0.389947 1.279111 172.745102 -2.804878 2.804878 2.500000 -0.615723 -0.118652 0.500488 0.000000 0.000000 0.000000 1.352322 1.285851 1.190395 1.062412
1634692423 2000 0.425213 1.345844 172.743927 6.097561 -1.951220 -0.487805 -0.854980 1.183105 1.964844 0.000000 0.000000 0.000000 1.275349 1.187214 1.213413 1.215004
1634694423 2000 0.413254 1.288626 172.739273 1.524390 -0.548781 -1.829268 0.120605 -0.689941 1.101074 0.000000 0.000000 0.000000 1.174788 1.110945 1.344798 1.260448
1634696423 2000 0.406676 1.170897 172.738159 -6.097561 1.036585 0.060976 0.151367 -1.872559 0.656738 0.000000 0.000000 0.000000 1.265553 1.217742 1.287619 1.120066
1634698423 2000 0.438991 1.205918 172.741257 4.573171 -0.731707 1.707317 -0.484375 0.368164 1.474121 0.000000 0.000000 0.000000 1.320274 1.259362 1.181408 1.129935
1634700423 2000 0.472455 1.302355 172.741486 1.158537 2.195122 -0.060976 -0.462891 1.476074 0.902832 0.000000 0.000000 0.000000 1.214773 1.177059 1.226949 1.272199
1634702423 2000 0.504590 1.333629 172.742569 0.670732 -2.926829 0.731707 -0.264648 0.208008 0.698730 0.000000 0.000000 0.000000 1.267966 1.231182 1.187160 1.204672
1634704423 2000 0.426378 1.295069 172.742813 1.280488 -3.414634 0.609756 0.879883 -0.511230 0.973145 0.000000 0.000000 0.000000 1.264081 1.254579 1.170325 1.201994
1634706423 2000 0.422352 1.310441 172.738632 1.219512 6.219512 -2.012195 0.190918 0.163086 1.334473 0.000000 0.000000 0.000000 1.167011 1.156528 1.214491 1.352950
1634708423 2000 0.415279 1.322995 172.735184 1.097561 -1.768293 -1.463415 0.026367 0.097656 0.992188 0.000000 0.000000 0.000000 1.159098 1.164440 1.223351 1.344090
1634710423 2000 0.334993 1.250014 172.738434 -1.219512 -1.524390 2.134146 0.553711 -0.513672 0.302246 0.000000 0.000000 0.000000 1.261557 1.313201 1.166237 1.149985
