#time h roll pitch yaw R L F B
2146085259 2000 -0.042933 1.658522 -179.548080 1.000000 1.000000 1.000000 1.000000
2146087259 2000 -0.042870 1.659182 -179.549026 1.000000 1.000000 1.000000 1.000000
2146089259 2000 -0.042402 1.660239 -179.549316 1.000000 1.000000 1.000000 1.000000
2146091259 2000 -0.042433 1.660371 -179.550385 1.000000 1.000000 1.000000 1.000000
2146093259 2000 -0.042253 1.660312 -179.550705 1.000000 1.000000 1.000000 1.000000
2146095259 2000 -0.042492 1.659888 -179.551025 1.000000 1.000000 1.000000 1.000000
2146097259 2000 -0.041768 1.658585 -179.551956 1.000000 1.000000 1.000000 1.000000
2146099259 2000 -0.043196 1.659140 -179.552673 1.000000 1.000000 1.000000 1.000000
2146101259 2000 -0.042844 1.658678 -179.553345 1.000000 1.000000 1.000000 1.000000
2146103259 2000 -0.042712 1.657429 -179.554153 1.000000 1.000000 1.000000 1.000000
2146105259 2000 -0.043060 1.657806 -179.554871 1.000000 1.000000 1.000000 1.000000
2146107259 2000 -0.043051 1.658155 -179.555298 1.000000 1.000000 1.000000 1.000000
2146109259 2000 -0.042808 1.657603 -179.556213 1.000000 1.000000 1.000000 1.000000
2146111259 2000 -0.042836 1.657293 -179.556793 1.000000 1.000000 1.000000 1.000000
2146113259 2000 -0.041914 1.656764 -179.557373 1.000000 1.000000 1.000000 1.000000
2146115259 2000 -0.042264 1.656495 -179.557800 1.000000 1.000000 1.000000 1.000000
2146117259 2000 -0.041916 1.656474 -179.558731 1.000000 1.000000 1.000000 1.000000
2146119259 2000 -0.042160 1.655626 -179.559433 1.000000 1.000000 1.000000 1.000000
2146121259 2000 -0.042632 1.655999 -179.559616 1.000000 1.000000 1.000000 1.000000
2146123259 2000 -0.042384 1.655408 -179.560776 1.000000 1.000000 1.000000 1.000000
2146125259 2000 -0.043162 1.656364 -179.561371 1.000000 1.000000 1.000000 1.000000
2146127259 2000 -0.043204 1.656712 -179.561951 1.000000 1.000000 1.000000 1.000000
2146129259 2000 -0.043630 1.656345 -179.561798 1.000000 1.000000 1.000000 1.000000
2146131259 2000 -0.043977 1.656579 -179.562607 1.000000 1.000000 1.000000 1.000000
2146133259 2000 -0.044243 1.655741 -179.563538 1.000000 1.000000 1.000000 1.000000
2146135259 2000 -0.043903 1.655354 -179.564590 1.000000 1.000000 1.000000 1.000000
2146137259 2000 -0.044943 1.654925 -179.564545 1.000000 1.000000 1.000000 1.000000
2146139259 2000 -0.045997 1.655174 -179.565002 1.000000 1.000000 1.000000 1.000000
2146141259 2000 -0.046499 1.653916 -179.566071 1.000000 1.000000 1.000000 1.000000
2146143259 2000 -0.047345 1.653516 -179.566513 1.000000 1.000000 1.000000 1.000000
2146145259 2000 -0.047113 1.654591 -179.566971 1.000000 1.000000 1.000000 1.000000
2146147259 2000 -0.046797 1.653688 -179.568024 1.000000 1.000000 1.000000 1.000000
2146149259 2000 -0.046402 1.653304 -179.568954 1.000000 1.000000 1.000000 1.000000
2146151259 2000 -0.046942 1.653464 -179.569168 1.000000 1.000000 1.000000 1.000000
2146153259 2000 -0.046233 1.654188 -179.569717 1.000000 1.000000 1.000000 1.000000
