#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1279126441 2001 0.912427 16.776257 -176.742096 -0.853659 0.975610 0.243902 -0.348633 0.656250 0.022949 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279128442 2001 0.972803 16.875162 -176.738556 1.158537 -0.243902 1.341463 -0.599609 0.911621 -0.167969 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279130443 2001 1.010398 16.851210 -176.739853 0.121951 -3.658537 0.914634 -0.554688 0.051758 1.227051 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279132444 2001 0.992985 16.792700 -176.745865 1.463415 -1.463415 -1.890244 0.301758 -0.706055 2.281250 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279134445 2001 0.954010 16.737095 -176.750671 0.670732 1.219512 -2.134146 0.737793 -0.548828 1.812012 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279136446 2001 0.861468 16.748819 -176.750809 1.951220 2.743902 -0.792683 0.601562 0.138672 0.330078 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279138447 2001 0.904324 16.831533 -176.745987 -2.012195 0.365854 1.951220 -0.295898 0.664062 0.227051 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279140448 2001 0.985249 16.831099 -176.743988 1.036585 -2.439024 2.073171 -1.042969 0.197754 0.827148 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279142448 2000 1.009671 16.770428 -176.746140 -3.292683 -3.841463 0.792683 -0.540527 -0.423340 1.686523 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279144449 2001 0.977374 16.720837 -176.751923 4.085366 -2.012195 -1.646342 0.490234 -0.528809 1.855957 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279146450 2001 0.917548 16.704201 -176.753586 -2.743902 2.560976 -1.341463 0.745605 0.167480 1.074219 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279148451 2001 0.870989 16.772293 -176.752563 0.365854 3.048780 -0.731707 0.325684 0.534668 0.343750 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279150451 2000 0.939935 16.826380 -176.747040 -2.682927 2.865854 1.768293 -0.366211 0.425781 0.294434 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279152452 2001 0.992410 16.768267 -176.744278 1.402439 0.731707 2.012195 -0.610352 -0.427734 1.060059 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279154468 2016 0.997631 16.698181 -176.748398 1.890244 -2.621951 -0.426829 -0.219727 -0.923828 1.997070 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279156469 2001 0.975926 16.644970 -176.753036 -0.121951 -1.402439 -1.280488 0.350098 -0.463867 2.104980 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
