#time h roll pitch yaw rroll rpitch ryaw gx gy gz ax ay az mx my mz R L F B 
4176342178 2000 -0.128282 3.040413 -171.875748 2.672421 2.561070 0.000000 -10.975610 -6.524391 -3.292683 -0.154785 0.118652 -0.433105 0.000000 0.000000 0.000000 1.234745 1.358850 1.483455 1.571116
4176344178 2000 -0.220036 3.011660 -171.879028 2.672421 2.561070 0.000000 -20.731709 -28.353659 -0.121951 0.837891 0.397461 2.493164 0.000000 0.000000 0.000000 1.371068 1.495698 1.375877 1.405523
4176346178 2000 -0.123649 3.060829 -171.881668 2.672421 2.561070 0.000000 -0.731707 21.646343 -2.378049 -1.000977 1.028320 1.627441 0.000000 0.000000 0.000000 1.322629 1.394137 1.443140 1.488260
4176348178 2000 -0.148448 2.948546 -171.889557 2.672421 2.561070 0.000000 -16.158537 -12.560976 -3.353659 0.001465 -0.718262 -0.624023 0.000000 0.000000 0.000000 1.278282 1.311655 1.531928 1.526302
4176350178 2000 -0.282982 2.891811 -171.894714 2.672421 2.561070 0.000000 -22.560976 -23.658537 -1.402439 1.244141 -0.133789 1.001465 0.000000 0.000000 0.000000 1.341449 1.438732 1.481323 1.386663
4176352178 2000 -0.175090 2.965269 -171.897018 2.672421 2.561070 0.000000 5.365854 25.487804 -2.317073 -1.285156 1.490723 1.687988 0.000000 0.000000 0.000000 1.344078 1.406834 1.471156 1.426098
4176354178 2000 -0.265600 2.884088 -171.896301 2.672421 2.561070 0.000000 -17.073172 -21.036585 1.341463 0.405273 -0.362305 0.766113 0.000000 0.000000 0.000000 1.421920 1.485090 1.414890 1.326266
4176356178 2000 -0.345882 2.733744 -171.903015 2.672421 2.561070 0.000000 -27.256098 -11.524391 -3.048780 0.807129 -1.357910 0.046387 0.000000 0.000000 0.000000 1.277035 1.411682 1.605345 1.354104
4176358178 2000 -0.220592 2.772337 -171.908401 2.672421 2.561070 0.000000 3.902439 20.853659 -3.597561 -1.473633 0.583984 1.253418 0.000000 0.000000 0.000000 1.300969 1.374333 1.551315 1.421548
4176360178 2000 -0.245790 2.773665 -171.905243 2.672421 2.561070 0.000000 -21.402439 -23.719513 2.804878 -0.378418 0.828125 1.746094 0.000000 0.000000 0.000000 1.495269 1.525156 1.355515 1.272226
4176362178 2000 -0.221894 2.637609 -171.909592 2.672421 2.561070 0.000000 -25.792685 -0.304878 -2.317073 -0.071777 -0.249512 0.224121 0.000000 0.000000 0.000000 1.334074 1.397326 1.585194 1.331571
4176364178 2000 -0.137318 2.576530 -171.918442 2.672421 2.561070 0.000000 -0.365854 12.195122 -5.060976 -0.639648 -0.629883 0.831543 0.000000 0.000000 0.000000 1.250609 1.242986 1.696666 1.457904
4176366178 2000 -0.142721 2.532343 -171.915451 2.672421 2.561070 0.000000 -27.195124 -16.646341 2.256098 -0.503418 0.250488 1.997558 0.000000 0.000000 0.000000 1.528969 1.491455 1.391231 1.236510
4176368178 2000 -0.077992 2.554159 -171.917511 2.672421 2.561070 0.000000 -17.195122 3.109756 -1.097561 -1.019531 1.024902 1.370605 0.000000 0.000000 0.000000 1.422056 1.408124 1.492846 1.325140
4176370178 2000 -0.059627 2.450103 -171.920776 2.672421 2.561070 0.000000 -2.621951 3.231707 -1.829268 -0.123535 -1.058594 0.604980 0.000000 0.000000 0.000000 1.344882 1.313347 1.622015 1.367921
4176372178 2000 -0.011901 2.309512 -171.920395 2.672421 2.561070 0.000000 -31.707319 -7.073171 0.487805 -0.991699 -1.228516 0.919434 0.000000 0.000000 0.000000 1.470616 1.429077 1.504503 1.243970
4176374178 2000 0.057878 2.340597 -171.921677 2.672421 2.561070 0.000000 -9.939025 2.317073 -0.731707 -1.494629 1.214355 1.764649 0.000000 0.000000 0.000000 1.458856 1.422544 1.476474 1.290292
4176376178 2000 0.101290 2.344096 -171.912125 2.672421 2.561070 0.000000 -3.170732 -1.463415 4.817073 -0.688965 0.186523 1.516113 0.000000 0.000000 0.000000 1.562127 1.505859 1.364072 1.216109
4176378178 2000 0.137706 2.172373 -171.914734 2.672421 2.561070 0.000000 -32.560978 2.682927 -1.280488 -0.640625 -2.239258 0.400879 0.000000 0.000000 0.000000 1.407253 1.361952 1.592596 1.286365
4176380178 2000 0.214830 2.136712 -171.918839 2.672421 2.561070 0.000000 -4.390244 0.609756 -2.012195 -0.781250 -0.260742 0.831055 0.000000 0.000000 0.000000 1.404754 1.335183 1.580229 1.328000
4176382178 2000 0.280104 2.177652 -171.906189 2.672421 2.561070 0.000000 -9.146341 -2.865854 6.280488 -1.035645 0.872070 0.927734 0.000000 0.000000 0.000000 1.634197 1.556959 1.281598 1.175412
4176384178 2000 0.345585 2.028709 -171.910217 2.672421 2.561070 0.000000 -25.000000 7.987805 -2.012195 -0.431641 -0.874023 0.191406 0.000000 0.000000 0.000000 1.397078 1.320908 1.591684 1.338496
